"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","22,679.40","22,899.00","22,940.80","22,619.15","517.95M","1.56%"
"03/30/2026","22,331.40","22,549.65","22,714.10","22,283.85","698.60M","-2.14%"
"03/27/2026","22,819.60","23,173.55","23,186.10","22,804.55","612.56M","-2.09%"
"03/25/2026","23,306.45","23,064.40","23,465.35","23,063.20","505.42M","1.72%"
"03/24/2026","22,912.40","22,878.45","23,057.30","22,624.20","538.10M","1.78%"
"03/23/2026","22,512.65","22,824.35","22,851.70","22,471.25","550.28M","-2.60%"
"03/20/2026","23,114.50","23,110.15","23,345.15","23,067.60","663.29M","0.49%"
"03/19/2026","23,002.15","23,197.75","23,378.70","22,930.35","550.15M","-3.26%"
"03/18/2026","23,777.80","23,632.90","23,862.25","23,618.45","382.88M","0.83%"
"03/17/2026","23,581.15","23,493.20","23,656.80","23,346.60","458.79M","0.74%"
"03/16/2026","23,408.80","23,116.10","23,502.00","22,955.25","540.29M","1.11%"
"03/13/2026","23,151.10","23,462.50","23,492.40","23,112.00","519.78M","-2.06%"
"03/12/2026","23,639.15","23,674.85","23,833.15","23,556.30","501.00M","-0.95%"
"03/11/2026","23,866.85","24,231.85","24,299.00","23,834.30","407.40M","-1.63%"
"03/10/2026","24,261.60","24,280.80","24,303.80","24,079.95","444.28M","0.97%"
"03/09/2026","24,028.05","23,868.05","24,078.15","23,697.80","526.90M","-1.73%"
"03/06/2026","24,450.45","24,656.40","24,700.90","24,415.75","433.41M","-1.27%"
"03/05/2026","24,765.90","24,615.95","24,854.20","24,529.40","504.34M","1.17%"
"03/04/2026","24,480.50","24,388.80","24,602.45","24,305.40","598.99M","-1.55%"
"03/02/2026","24,865.70","24,659.25","24,989.35","24,603.50","519.23M","-1.24%"
"02/27/2026","25,178.65","25,459.85","25,476.40","25,141.30","438.92M","-1.25%"
"02/26/2026","25,496.55","25,556.30","25,572.95","25,400.95","405.22M","0.06%"
"02/25/2026","25,482.50","25,512.60","25,652.60","25,428.20","414.21M","0.23%"
"02/24/2026","25,424.65","25,641.80","25,641.80","25,327.60","439.07M","-1.12%"
"02/23/2026","25,713.00","25,678.40","25,771.45","25,609.35","313.68M","0.55%"
"02/20/2026","25,571.25","25,406.55","25,663.55","25,379.75","296.58M","0.46%"
"02/19/2026","25,454.35","25,873.35","25,885.30","25,388.75","298.23M","-1.41%"
"02/18/2026","25,819.35","25,752.65","25,828.05","25,645.15","310.23M","0.37%"
"02/17/2026","25,725.40","25,637.95","25,764.40","25,570.30","344.12M","0.17%"
"02/16/2026","25,682.75","25,423.60","25,697.00","25,372.70","275.77M","0.83%"
"02/13/2026","25,471.10","25,571.15","25,630.35","25,444.30","453.52M","-1.30%"
"02/12/2026","25,807.20","25,906.70","25,906.70","25,752.40","419.39M","-0.57%"
"02/11/2026","25,953.85","25,997.45","26,009.40","25,899.80","331.39M","0.07%"
"02/10/2026","25,935.15","25,922.65","25,989.45","25,870.45","460.88M","0.26%"
"02/09/2026","25,867.30","25,888.70","25,922.25","25,780.90","359.39M","0.68%"
"02/06/2026","25,693.70","25,605.80","25,703.95","25,491.90","375.48M","0.20%"
"02/05/2026","25,642.80","25,755.90","25,757.65","25,579.50","343.81M","-0.52%"
"02/04/2026","25,776.00","25,675.05","25,818.55","25,563.95","429.79M","0.19%"
"02/03/2026","25,727.55","26,308.05","26,341.20","25,641.30","637.26M","2.55%"
"02/02/2026","25,088.40","24,796.50","25,108.10","24,679.40","449.22M","1.06%"
"02/01/2026","24,825.45","25,333.75","25,440.90","24,571.75","379.37M","-1.96%"
